"","X","created_at","screen_name","text","display_text_width","is_quote","is_retweet","favorite_count","retweet_count","url_present","video","photo","WD","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","year","month","January","February","March","April","May","June","July","August","September","October","November","hour","afternoon","evening","mentions_count","mentions_presence","hashtag_count","hashtag_presence","emoji_count","emoji_presence","mentions_sqrt","emoji_sqrt","favorite_log","retweet_log","target_fav_norm","target_RT_norm","target_fav","target_RT","tweet_length_scaled","followers_count_scaled","question","athletes_mentions","text_lemma","word_total","noun_freq","verb_freq","topic_1","topic_2","topic_3","topic_4","topic_5","sentiment_analysis"
"22",23,"2018-07-22","Nike","Nerve Beats Nasty. Congratulations   on winning the Open Championship at Carnoustie Golf Links. #TheOpen #nike",120,0,0,915,98,0,0,0,"Sunday",0,0,0,0,0,0,2018,"July",0,0,0,0,0,0,1,0,0,0,0,18,1,0,1,1,2,1,0,0,1,0,6.81892406527552,4.58496747867057,1,1,1,0,2.41884861431241,5.14296990122633,0,0,"nerve beat nasty congratulation on win the open championship at carnoustie golf link",13,0.461538461538462,0.153846153846154,0,1,0,0,0,5.61111111111111
"23",24,"2018-07-15","Nike","A Star is born.   #JustDoIt https://t.co/cn8eqmUuuq",34,0,0,36412,7485,0,0,1,"Sunday",0,0,0,0,0,0,2018,"July",0,0,0,0,0,0,1,0,0,0,0,18,1,0,1,1,1,1,0,0,1,0,10.5026536696252,8.92065629685373,1,1,1,1,0.561518428322523,5.14296990122633,0,1,"a star be bear",4,0.25,0.25,1,0,1,0,0,6.32666666666667
"24",25,"2018-07-15","Nike","Belief born in the streets of France. #JustDoIt https://t.co/t3rYXJz7Kw",47,0,0,9918,4987,0,1,0,"Sunday",0,0,0,0,0,0,2018,"July",0,0,0,0,0,0,1,0,0,0,0,17,1,0,0,0,1,1,0,0,0,0,9.20210656704908,8.51458980554612,1,1,1,1,0.842277642483785,5.14296990122633,0,0,"belief bear in the street of france",7,0.285714285714286,0.142857142857143,1,0,0,0,0,5.51333333333333
"25",26,"2018-07-14","Nike","Play as one. Fight as one. Believe as one. <U+2800> <U+2800> Believe. #JustDoIt https://t.co/ZgDi1Lwi96",65,0,0,2339,386,0,1,0,"Saturday",0,0,0,0,0,1,2018,"July",0,0,0,0,0,0,1,0,0,0,0,22,0,1,0,0,1,1,2,1,0,1.4142135623731,7.75747876658418,5.95583736946483,1,1,1,1,1.23102116978399,5.14296990122633,0,0,"play as one fight as one believe as one u u believe",12,0,0.333333333333333,0,1,0,0,0,5.99222222222222
"26",27,"2018-07-14","Nike","No love lost.  The greatest athlete ever is the mother of all inspiration. #justdoit https://t.co/BUspq4xlxF",84,0,0,12231,2302,0,0,1,"Saturday",0,0,0,0,0,1,2018,"July",0,0,0,0,0,0,1,0,0,0,0,20,0,1,0,0,1,1,0,0,0,0,9.41172899148736,7.74153358928183,1,1,1,1,1.64136155971199,5.14296990122633,0,0,"no love lose the greatest athlete ever be the mother of all inspiration",13,0.307692307692308,0.0769230769230769,0,0,0,1,0,3.67333333333333
"27",28,"2018-07-11","Nike","Unstoppable belief. #justdoit https://t.co/9Axn3glvwz",29,0,0,41663,14823,0,0,1,"Wednesday",0,0,1,0,0,0,2018,"July",0,0,0,0,0,0,1,0,0,0,0,20,0,1,0,0,1,1,0,0,0,0,10.6373687237441,9.60393530751386,1,1,1,1,0.453534115183577,5.14296990122633,0,0,"unstoppable belief",2,0.5,0,0,1,0,1,1,5.99
"28",29,"2018-07-10","Nike","Believe &gt; Pressure   #JustDoit https://t.co/UzNdjJBS6z",40,0,0,6608,1810,0,1,0,"Tuesday",0,1,0,0,0,0,2018,"July",0,0,0,0,0,0,1,0,0,0,0,19,1,0,1,1,1,1,0,0,1,0,8.79603631520081,7.50108212425987,1,1,1,1,0.691099604089259,5.14296990122633,0,1,"believe gt pressure",3,0.666666666666667,0.333333333333333,0,0,0,0,1,5.305
"29",30,"2018-06-10","Nike","Again. And again. And again. And again. And again. And again. And again. And again. And again. And again. <U+2800> A historic 11 majors on clay, and counting.   #nike #justdoit https://t.co/EgdPZ5k1kD",180,0,0,15404,5415,0,0,1,"Sunday",0,0,0,0,0,0,2018,"June",0,0,0,0,0,1,0,0,0,0,0,16,1,0,1,1,2,1,1,1,1,1,9.6423824949348,8.59692815943509,1,1,1,1,3.71466037197977,5.14296990122633,0,1,"again and again and again and again and again and again and again and again and again and again u a historic major on clay and counting",27,0.111111111111111,0,0,0,0,0,1,5.60125
"30",31,"2018-06-09","Nike","Self belief makes believers.     fearlessly captures her first major title on the clay in Paris. #nike #justdoit https://t.co/aTew6s4CQ6",124,0,0,4642,877,0,0,1,"Saturday",0,0,0,0,0,1,2018,"June",0,0,0,0,0,1,0,0,0,0,0,15,1,0,1,1,2,1,0,0,1,0,8.44290058683438,6.77650699237218,1,1,1,1,2.50523606482357,5.14296990122633,0,1,"self belief make believer fearlessly capture she first major title on the clay in paris",15,0.333333333333333,0.133333333333333,0,0,0,0,1,5.97666666666667
"31",32,"2018-06-09","Nike","A champion never settles for one.    #JustDoIt #NBAFinals https://t.co/8PXOHhCvwq",64,0,0,27110,9741,0,1,0,"Saturday",0,0,0,0,0,1,2018,"June",0,0,0,0,0,1,0,0,0,0,0,3,0,1,1,1,2,1,0,0,1,0,10.2076579424927,9.18409906077096,1,1,1,1,1.2094243071562,5.14296990122633,0,0,"a champion never settle for one",6,0.166666666666667,0.166666666666667,1,1,0,0,0,6.34666666666667
"32",33,"2018-05-30","Nike","It’s one thing to put words on your back. It’s another thing to live up to them.   #alwaysbelieve #nike   https://t.co/q04oVa6gNc",114,0,0,24500,10333,0,1,0,"Wednesday",0,0,1,0,0,0,2018,"May",0,0,0,0,1,0,0,0,0,0,0,23,0,1,1,1,2,1,0,0,1,0,10.1064283965328,9.24309793621435,1,1,1,1,2.28926743854567,5.14296990122633,0,1,"its one thing to put word on you back its another thing to live up to they",17,0.235294117647059,0.117647058823529,0,0,1,0,0,5.82285714285714
"33",34,"2018-05-24","Nike","Reclaiming the past to empower the future.  This year’s #BETRUE collection breaks symbolic boundaries.   Learn More: https://t.co/AgiTrZb35I #nike https://t.co/aXzMVcFx2k",146,0,0,1943,509,1,1,0,"Thursday",0,0,0,1,0,0,2018,"May",0,0,0,0,1,0,0,0,0,0,0,14,1,0,0,0,2,1,0,0,0,0,7.57198844937744,6.23244801655052,1,1,1,1,2.98036704263493,5.14296990122633,0,0,"reclaim the past to empower the future this year collection break symbolic boundary learn more",15,0.4,0.2,0,1,0,0,0,5.79444444444444
"34",35,"2018-04-22","Nike","Bear witness.   Congratulations,  . #JustDoIt https://t.co/PDejVerNns",58,1,0,992,219,1,0,0,"Sunday",0,0,0,0,0,0,2018,"April",0,0,0,1,0,0,0,0,0,0,0,11,0,0,1,1,1,1,0,0,1,0,6.89972310728487,5.3890717298165,1,1,1,0,1.07984313138947,5.14296990122633,0,1,"bear witness congratulation",3,0.666666666666667,0,0,0,1,0,0,6.08
"35",36,"2018-04-22","Nike",".  just took London with a personal best.   Congratulations, Vivian. #justdoit",93,0,0,542,94,0,0,0,"Sunday",0,0,0,0,0,0,2018,"April",0,0,0,1,0,0,0,0,0,0,0,10,0,0,1,1,1,1,0,0,1,0,6.29526600143965,4.54329478227,1,1,1,0,1.8357333233621,5.14296990122633,0,0,"just take london with a personal best congratulation vivian",9,0.222222222222222,0.111111111111111,1,1,1,0,0,6.07
"36",37,"2018-04-21","Nike","Heart can’t be measured, only witnessed. <U+2800> <U+2800> On Sunday,   runs another race towards greatness. #JustDoIt https://t.co/yCwgNkvzjr",117,0,0,1318,343,0,1,0,"Saturday",0,0,0,0,0,1,2018,"April",0,0,0,1,0,0,0,0,0,0,0,7,0,0,1,1,1,1,2,1,1,1.4142135623731,7.18387071506245,5.83773044716594,1,1,1,1,2.35405802642904,5.14296990122633,0,1,"heart cant be measure only witness u u on sunday run another race towards greatness",14,0.285714285714286,0.214285714285714,0,0,0,1,0,5.99555555555556
"37",38,"2018-04-17","Nike","Printed to the exact specifications of world-class runners.  Introducing Nike Flyprint. https://t.co/qcdmVt2Umv https://t.co/gtmlX3EmMS",111,0,0,1699,466,1,1,0,"Tuesday",0,1,0,0,0,0,2018,"April",0,0,0,1,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,7.43779512167193,6.14418563412565,1,1,1,1,2.2244768506623,5.14296990122633,0,0,"print to the exact specification of worldclass runner introduce nike flyprint",11,0.363636363636364,0.181818181818182,0,0,1,0,0,5.736
"38",39,"2018-04-13","Nike","Can you imagine? Winning the same marathon that inspired you to run marathons?  <U+0001F44B>  #justdoit https://t.co/PkpuDSKxpG",107,0,0,1773,357,0,1,0,"Friday",0,0,0,0,1,0,2018,"April",0,0,0,1,0,0,0,0,0,0,0,15,1,0,1,1,1,1,1,1,1,1,7.48042830607421,5.87773578177964,1,1,1,1,2.13808940015115,5.14296990122633,1,0,"can you imagine win the same marathon that inspire you to run marathon ufb",14,0.214285714285714,0.285714285714286,1,1,0,0,0,6.554375
"39",40,"2018-04-09","Nike","Confidence from start to finish.     wins first major championship at The Masters. #justdoit https://t.co/Ejx2oKcGcy",101,0,0,10172,1064,0,0,1,"Monday",1,0,0,0,0,0,2018,"April",0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,9.22739412654201,6.96979066990159,1,1,1,1,2.00850822438441,5.14296990122633,0,0,"confidence from start to finish win first major championship at the master",12,0.5,0,1,0,0,0,0,6.47625
"40",41,"2018-04-05","Nike","When   plays golf, the world watches. Welcome Back. https://t.co/N12YmLfGCY",61,0,0,60177,18128,0,1,0,"Thursday",0,0,0,1,0,0,2018,"April",0,0,0,1,0,0,0,0,0,0,0,16,1,0,1,1,0,0,0,0,1,0,11.0050454984928,9.80521298326779,1,1,1,1,1.14463371927284,5.14296990122633,0,1,"when play golf the world watch welcome back",8,0.125,0.25,0,0,0,1,0,6.19333333333333
"41",42,"2018-03-26","Nike","You ready? #AirMaxDay https://t.co/58atoX0SXI",21,1,0,3298,476,1,0,0,"Monday",1,0,0,0,0,0,2018,"March",0,0,1,0,0,0,0,0,0,0,0,23,0,1,0,0,1,1,0,0,0,0,8.10107150311954,6.16541785423142,1,1,1,1,0.280759214161262,5.14296990122633,1,0,"you ready",2,0,0,1,0,0,0,0,6.64
"42",43,"2018-03-25","Nike","Don’t miss it. #AirMax Day. https://t.co/2XH5TJJhJh",27,1,0,1979,338,1,0,0,"Sunday",0,0,0,0,0,0,2018,"March",0,0,1,0,0,0,0,0,0,0,0,17,1,0,0,0,1,1,0,0,0,0,7.59034694560257,5.82304589548302,1,1,1,1,0.410340389927998,5.14296990122633,0,0,"do not miss it day",5,0.2,0.2,0,0,0,0,1,2.55666666666667
"43",44,"2018-03-05","Nike",".  has proven time and time again, there’s no wrong way to be a woman. #UntilWeAllWin https://t.co/aAMZv9IjCW",99,0,0,20660,6350,0,1,0,"Monday",1,0,0,0,0,0,2018,"March",0,0,1,0,0,0,0,0,0,0,0,3,0,1,1,1,1,1,0,0,1,0,9.93595474267363,8.75621009188674,1,1,1,1,1.96531449912883,5.14296990122633,0,1,"have prove time and time again there no wrong way to be a woman",14,0.285714285714286,0.142857142857143,0,1,0,0,0,4.875
"44",45,"2018-03-01","Nike","When our world gets stuck, there’s only one option - #ChooseGo.  https://t.co/lpWAcMefEl https://t.co/0rAm25J37q",88,0,0,3311,1204,1,1,0,"Thursday",0,0,0,1,0,0,2018,"March",0,0,1,0,0,0,0,0,0,0,0,15,1,0,0,0,1,1,0,0,0,0,8.10500553754725,7.09340462586877,1,1,1,1,1.72774901022315,5.14296990122633,0,0,"when we world get stuck there only one option",9,0.333333333333333,0.111111111111111,0,0,1,0,1,6.017
"45",46,"2018-03-01","Nike","Don't get stuck. #ChooseGo https://t.co/3o3lXSg1qe",26,0,0,3575,1042,0,1,0,"Thursday",0,0,0,1,0,0,2018,"March",0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,0,0,0,8.18172045512811,6.94889722231331,1,1,1,1,0.388743527300208,5.14296990122633,0,0,"do not get stuck",4,0,0.25,1,0,0,1,1,-0.34
"46",47,"2018-02-16","Nike","Age is just a number until you’re number one.   https://t.co/Dg4T8JakAN",59,0,0,16410,7714,0,1,0,"Friday",0,0,0,0,1,0,2018,"February",0,1,0,0,0,0,0,0,0,0,0,20,0,1,1,1,0,0,0,0,1,0,9.70564618408414,8.95079213876817,1,1,1,1,1.10143999401726,5.14296990122633,0,1,"age be just a number until your number one",9,0.333333333333333,0,0,1,0,0,0,5.846
"47",48,"2018-02-15","Nike","Welcome to #NBAAllStar Weekend in Los Angeles.  This weekend, we celebrate the makers of the game. Those who revolutionize sport and culture, and do it like it’s never been done before. From the legacy of   to those inventing the future, we are #MakersOfTheGame. https://t.co/43UcezF9rG",272,0,0,1415,412,0,1,0,"Thursday",0,0,0,1,0,0,2018,"February",0,1,0,0,0,0,0,0,0,0,0,17,1,0,1,1,2,1,0,0,1,0,7.25488481007734,6.02102334934953,1,1,1,1,5.70157173373639,5.14296990122633,0,0,"welcome to weekend in los angeles this weekend we celebrate the maker of the game those who revolutionize sport and culture and do it like its never be do before from the legacy of to those invent the future we be",41,0.170731707317073,0.170731707317073,0,1,1,0,0,6.59882352941176
"48",49,"2018-02-09","Nike","In every step. With every breath. #airmovesyou  Sound on. <U+0001F508> https://t.co/O79rImWETh",59,0,0,2731,722,0,1,0,"Friday",0,0,0,0,1,0,2018,"February",0,1,0,0,0,0,0,0,0,0,0,20,0,1,0,0,1,1,1,1,0,1,7.91242312147371,6.58202513889283,1,1,1,1,1.10143999401726,5.14296990122633,0,0,"in every step with every breath sound on uf",9,0.444444444444444,0,0,0,0,1,0,6.2125
"49",50,"2018-02-07","Nike","If you have a body, you’re an athlete. Incredible story  . But it’s not over yet... https://t.co/SBlFC1isjL",97,1,0,1128,315,1,0,0,"Wednesday",0,0,1,0,0,0,2018,"February",0,1,0,0,0,0,0,0,0,0,0,18,1,0,1,1,0,0,0,0,1,0,7.028201432058,5.75257263882563,1,1,1,1,1.92212077387325,5.14296990122633,0,0,"if you have a body your a athlete incredible story but it be not over yet",16,0.125,0.0625,0,0,0,1,0,6.51
"50",51,"2018-02-05","Nike","Dogs over dynasty. <U+0001F3C6> #SBLII https://t.co/5V0EUmNI3f",71,0,1,0,921,0,1,0,"Monday",1,0,0,0,0,0,2018,"February",0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,1,1,1,0,1,0,6.82546003625531,0,1,0,1,1.36060234555073,5.14296990122633,0,0,"dog over dynasty ufc",4,0.25,0,0,0,1,0,0,6.93
"51",52,"2018-01-28","Nike","Outplay yourself.   , Melbourne's defending champion and holder of 19 major titles, just beat his own record, by winning 20. #justdoit https://t.co/NFq0lkqVgX",146,0,0,9205,4690,0,0,1,"Sunday",0,0,0,0,0,0,2018,"January",1,0,0,0,0,0,0,0,0,0,0,11,0,0,1,1,1,1,0,0,1,0,9.12750209366718,8.45318786144033,1,1,1,1,2.98036704263493,5.14296990122633,0,1,"outplay yourself melbourne defend champion and holder of major title just beat he own record by win",17,0.235294117647059,0.235294117647059,0,0,0,1,0,5.90875
"52",53,"2018-01-23","Nike","Learn more about the Inspiration behind the Innovation: https://t.co/ab5hO9VQE5  #nikereact https://t.co/TmUka0QzEz",91,0,0,2735,3245,1,0,1,"Tuesday",0,1,0,0,0,0,2018,"January",1,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,1,1,0,0,0,0,7.91388671485608,8.08487062913819,1,1,1,1,1.79253959810652,5.14296990122633,0,0,"learn more about the inspiration behind the innovation",8,0.25,0.125,0,0,0,1,1,6.77666666666667
"53",54,"2018-01-04","Nike","I am so excited to share with you all that I have officially joined the     family!!! https://t.co/5A7iGcULR6",140,0,1,0,799,0,0,0,"Thursday",0,0,0,1,0,0,2018,"January",1,0,0,0,0,0,0,0,0,0,0,21,0,1,2,1,0,0,0,0,1.4142135623731,0,0,6.68336094576627,0,1,0,1,2.8507858668682,5.14296990122633,0,0,"i be so excited to share with you all that i have officially join the family",16,0.0625,0.125,0,0,0,0,1,6.575
